"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"2272";"411";"30";"51";"16"
"sudeste";"196";"6670";"107";"130";"25"
"centro-oeste";"31";"183";"566";"19";"2"
"nordeste";"53";"379";"29";"1640";"15"
"norte";"10";"101";"14";"15";"202"
""
