names,sul,sudeste,centro-oeste,nordeste,norte
sul,2138,370,34,52,9
sudeste,163,6425,84,103,33
centro-oeste,18,151,437,24,5
nordeste,36,306,24,1479,19
norte,14,82,8,14,171
