"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"158";"104";"0";"2";"1"
"sudeste";"31";"1659";"3";"5";"2"
"centro-oeste";"1";"37";"14";"0";"0"
"nordeste";"10";"48";"2";"24";"0"
"norte";"0";"7";"1";"0";"8"
""
