"names";"sul";"sudeste";"centro-oeste";"nordeste";"norte"
"sul";"616";"242";"9";"15";"3"
"sudeste";"99";"3713";"22";"33";"9"
"centro-oeste";"2";"76";"66";"3";"0"
"nordeste";"30";"194";"6";"224";"2"
"norte";"3";"28";"0";"4";"22"
""
